"LCdens_a","LCdens_b","DenExp3","LogLikelihood","aic"
0,0.6,0.1,-19055.4070317114,38124.8140634229
0,0.6,0.3,-18960.7506238415,37935.5012476831
0,0.6,0.5,-18969.8965646417,37953.7931292835
0,0.6,0.7,-19001.4583144672,38016.9166289344
0,0.6,0.9,-19036.1444552991,38086.2889105982
0,0.8,0.1,-19047.3917370404,38108.7834740809
0,0.8,0.3,-18950.8055965881,37915.6111931762
0,0.8,0.5,-18964.5878291724,37943.1756583447
0,0.8,0.7,-19001.3217261472,38016.6434522943
0,0.8,0.9,-19041.1290076172,38096.2580152343
0,1,0.1,-19038.8436982054,38091.6873964108
0,1,0.3,-18946.9915606255,37907.983121251
0,1,0.5,-18971.1696371178,37956.3392742356
0,1,0.7,-19017.3458973374,38048.6917946748
0,1,0.9,-19065.3669325652,38144.7338651304
0,1.4,0.1,-19022.4744208498,38058.9488416996
0,1.4,0.3,-18966.9664497698,37947.9328995396
0,1.4,0.5,-19029.1477006717,38072.2954013435
0,1.4,0.7,-19101.7732663452,38217.5465326903
0,1.4,0.9,-19163.510830909,38341.021661818
0,1.2,0.1,-19030.3053020427,38074.6106040855
0,1.2,0.3,-18952.0739250518,37918.1478501035
0,1.2,0.5,-18993.0593931872,38000.1187863744
0,1.2,0.7,-19052.286972893,38118.5739457859
0,1.2,0.9,-19109.447582136,38232.895164272
0.1,0.6,0.1,-19053.9128037374,38121.8256074748
0.1,0.6,0.3,-18956.8097801182,37927.6195602364
0.1,0.6,0.5,-18964.7886527649,37943.5773055299
0.1,0.6,0.7,-18995.8783199262,38005.7566398524
0.1,0.6,0.9,-19030.2756008002,38074.5512016004
0.1,0.8,0.1,-19045.7942163086,38105.5884326173
0.1,0.8,0.3,-18946.3539250255,37906.7078500509
0.1,0.8,0.5,-18958.7093781261,37931.4187562523
0.1,0.8,0.7,-18994.7131646892,38003.4263293785
0.1,0.8,0.9,-19033.9294430055,38081.8588860109
0.1,1,0.1,-19037.0651569776,38088.1303139552
0.1,1,0.3,-18941.7024971129,37897.4049942257
0.1,1,0.5,-18964.0347555366,37942.0695110732
0.1,1,0.7,-19009.1846298883,38032.3692597766
0.1,1,0.9,-19056.4418556562,38126.8837113124
0.1,1.4,0.1,-19020.1372244762,38054.2744489524
0.1,1.4,0.3,-18959.6521325879,37933.3042651757
0.1,1.4,0.5,-19019.533618705,38053.0672374101
0.1,1.4,0.7,-19091.3882767601,38196.7765535203
0.1,1.4,0.9,-19154.3881101621,38322.7762203242
0.1,1.2,0.1,-19028.2723835026,38070.5447670051
0.1,1.2,0.3,-18945.7381302614,37905.4762605228
0.1,1.2,0.5,-18984.488090042,37982.976180084
0.1,1.2,0.7,-19042.609979743,38099.219959486
0.1,1.2,0.9,-19099.2493557671,38212.4987115341
0.2,0.6,0.1,-19052.2303858802,38118.4607717605
0.2,0.6,0.3,-18954.8927589023,37923.7855178046
0.2,0.6,0.5,-18962.9363894354,37939.8727788708
0.2,0.6,0.7,-18994.1408440516,38002.2816881033
0.2,0.6,0.9,-19028.6993849775,38071.3987699551
0.2,0.8,0.1,-19044.0390344648,38102.0780689297
0.2,0.8,0.3,-18943.9261454142,37901.8522908284
0.2,0.8,0.5,-18955.8982168444,37925.7964336889
0.2,0.8,0.7,-18991.5639734651,37997.1279469301
0.2,0.8,0.9,-19030.4343183095,38074.8686366191
0.2,1,0.1,-19035.1720032841,38084.3440065681
0.2,1,0.3,-18938.3404891211,37890.6809782421
0.2,1,0.5,-18959.5619873271,37933.1239746541
0.2,1,0.7,-19003.7591156734,38021.5182313468
0.2,1,0.9,-19050.141206151,38114.282412302
0.2,1.4,0.1,-19017.7944980687,38049.5889961375
0.2,1.4,0.3,-18953.7624721949,37921.5249443898
0.2,1.4,0.5,-19011.4027291055,38036.805458211
0.2,1.4,0.7,-19082.1062165976,38178.2124331952
0.2,1.4,0.9,-19144.8820506374,38303.7641012748
0.2,1.2,0.1,-19026.1778671072,38066.3557342143
0.2,1.2,0.3,-18941.1228387868,37896.2456775737
0.2,1.2,0.5,-18978.0168722461,37970.0337444923
0.2,1.2,0.7,-19034.8176605583,38083.6353211166
0.2,1.2,0.9,-19090.5388115623,38195.0776231246
0.3,0.6,0.1,-19050.1171101823,38114.2342203645
0.3,0.6,0.3,-18955.0608442777,37924.1216885554
0.3,0.6,0.5,-18964.8453499448,37943.6906998896
0.3,0.6,0.7,-18997.0761397638,38008.1522795276
0.3,0.6,0.9,-19032.4507130115,38078.9014260229
0.3,0.8,0.1,-19041.8914537918,38097.7829075835
0.3,0.8,0.3,-18943.6061650893,37901.2123301787
0.3,0.8,0.5,-18956.6903780565,37927.3807561129
0.3,0.8,0.7,-18992.7928244268,37999.5856488536
0.3,0.8,0.9,-19031.8969810495,38077.793962099
0.3,1,0.1,-19032.9532685768,38079.9065371535
0.3,1,0.3,-18937.0342070739,37888.0684141478
0.3,1,0.5,-18958.2940150321,37930.5880300642
0.3,1,0.7,-19001.9622689439,38017.9245378879
0.3,1,0.9,-19047.6926027295,38109.3852054591
0.3,1.4,0.1,-19015.3183582665,38044.636716533
0.3,1.4,0.3,-18949.5377004759,37913.0754009517
0.3,1.4,0.5,-19005.2318546264,38024.4637092529
0.3,1.4,0.7,-19074.546587684,38163.0931753679
0.3,1.4,0.9,-19136.69497582,38287.3899516399
0.3,1.2,0.1,-19023.8486598733,38061.6973197467
0.3,1.2,0.3,-18938.4164109126,37890.8328218253
0.3,1.2,0.5,-18974.1605589276,37962.3211178551
0.3,1.2,0.7,-19029.6534307535,38073.306861507
0.3,1.2,0.9,-19084.2863305771,38182.5726611542
0.4,0.6,0.1,-19047.4089264117,38108.8178528234
0.4,0.6,0.3,-18957.2605150003,37928.5210300005
0.4,0.6,0.5,-18970.548293412,37955.0965868241
0.4,0.6,0.7,-19004.6251071345,38023.250214269
0.4,0.6,0.9,-19041.1673596059,38096.3347192117
0.4,0.8,0.1,-19039.1926883628,38092.3853767256
0.4,0.8,0.3,-18945.384378456,37904.768756912
0.4,0.8,0.5,-18961.2706047477,37936.5412094954
0.4,0.8,0.7,-18998.6715058541,38011.3430117081
0.4,0.8,0.9,-19038.5235280857,38091.0470561714
0.4,1,0.1,-19030.2679555969,38074.5359111938
0.4,1,0.3,-18937.8538282224,37889.7076564449
0.4,1,0.5,-18960.6190840727,37935.2381681453
0.4,1,0.7,-19004.4839261499,38022.9678522998
0.4,1,0.9,-19050.0258819832,38114.0517639664
0.4,1.4,0.1,-19012.6324733302,38039.2649466604
0.4,1.4,0.3,-18947.2301424281,37908.4602848561
0.4,1.4,0.5,-19001.6018207087,38017.2036414173
0.4,1.4,0.7,-19069.5558803286,38153.1117606571
0.4,1.4,0.9,-19130.8946675554,38275.7893351109
0.4,1.2,0.1,-19021.1730885151,38056.3461770302
0.4,1.2,0.3,-18937.7883166393,37889.5766332786
0.4,1.2,0.5,-18973.4616567264,37960.9233134529
0.4,1.2,0.7,-19028.026851416,38070.0537028319
0.4,1.2,0.9,-19081.749481874,38177.4989637481
